"","date","bat","compound","concentration","food_consumed"
"1","14/02/2021","1","C1","0.1",3.893
"2","14/02/2021","6","C1","0.1",3.0688
"3","14/02/2021","2","C2","0.1",4.2495
"4","14/02/2021","7","C2","0.1",2.4367
"5","14/02/2021","3","C3","0.1",1.3512
"6","14/02/2021","8","C3","0.1",0
"7","14/02/2021","4","C4","0.1",4.7396
"8","14/02/2021","9","C4","0.1",0.0755
"9","14/02/2021","5","C","0.1",4.5905
"10","16/02/2021","10","C","0.1",4.4691
"11","15/02/2021","1","C2","0.1",4.7824
"12","15/02/2021","2","C","0.1",4.9847
"13","15/02/2021","3","C1","0.1",4.9018
"14","15/02/2021","4","C3","0.1",4.8944
"15","15/02/2021","5","C1","0.1",4.8069
"16","15/02/2021","6","C2","0.1",4.8122
"17","15/02/2021","7","C","0.1",4.5275
"18","15/02/2021","8","C1","0.1",2.8657
"19","15/02/2021","9","C3","0.1",4.6788
"20","17/02/2021","10","C1","0.1",4.8247
"21","16/02/2021","1","C3","0.1",2.7312
"22","16/02/2021","2","C1","0.1",4.7295
"23","16/02/2021","3","C4","0.1",4.007
"24","16/02/2021","4","C","0.1",4.5926
"25","16/02/2021","5","C3","0.1",2.9919
"26","16/02/2021","6","C3","0.1",4.0328
"27","16/02/2021","7","C1","0.1",4.5345
"28","16/02/2021","8","C4","0.1",0.1074
"29","16/02/2021","9","C","0.1",4.7279
"30","17/02/2021","1","C4","0.1",2.4164
"31","17/02/2021","2","C3","0.1",4.2698
"32","17/02/2021","3","C","0.1",4.9111
"33","17/02/2021","4","C1","0.1",4.8514
"34","17/02/2021","5","C4","0.1",4.2923
"35","17/02/2021","6","C4","0.1",4.7773
"36","17/02/2021","7","C3","0.1",3.9432
"37","17/02/2021","8","C","0.1",3.9105
"38","17/02/2021","9","C1","0.1",4.8135
"39","18/02/2021","1","C","0.1",3.1991
"40","18/02/2021","2","C4","0.1",3.3304
"41","18/02/2021","3","C2","0.1",4.7866
"42","18/02/2021","4","C2","0.1",4.3895
"43","18/02/2021","5","C2","0.1",4.2303
"44","18/02/2021","6","C","0.1",4.7245
