Best match in NIST ,IUPAC name,InChIKey,treatment,kingdom,superclass,class,subclass,level 5,mean_decrease_accuracy,Treatment effect
Eugenol,2-methoxy-4-prop-2-enylphenol,RRAFCDWBNXTKKO-UHFFFAOYSA-N,0.10%,Organic compounds,Benzenoids,Phenols,Methoxyphenols,NA,9.598432196,Eugenol
"D-fructofuranose, pentakis(trimethylsyl)ether ","(3S,4S,5R)-2,5-bis(hydroxymethyl)oxolane-2,3,4-triol",RFSUNEUAIZKAJO-VRPWFDPXSA-N,0.10%,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,7.479367996,Tannic acid
Eugenol,2-methoxy-4-prop-2-enylphenol,RRAFCDWBNXTKKO-UHFFFAOYSA-N,2%,Organic compounds,Benzenoids,Phenols,Methoxyphenols,NA,12.45803284,Eugenol
Eugenol,2-methoxy-4-prop-2-enylphenol,RRAFCDWBNXTKKO-UHFFFAOYSA-N,2%,Organic compounds,Benzenoids,Phenols,Methoxyphenols,NA,19.49310577,Eugenol
"beta-L-mannofuranose, 6-deoxy-1,2,3,5-tetrakis-O-trimethylsilyl","(2S,3R,4S,5S)-5-[(1S)-1,2-dihydroxyethyl]oxolane-2,3,4-triol",AVVWPBAENSWJCB-QYESYBIKSA-N,2%,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Monosaccharides,19.21945252,Eugenol
Neophytadine,"7,11,15-trimethyl-3-methylidenehexadec-1-ene",NIDGCIPAMWNKOA-UHFFFAOYSA-N,2%,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids,NA,12.93992994,Phytol
"1-Methyl-3-phenyl-2,4,5-trioxoimidazolidine","1-methyl-3-phenylimidazolidine-2,4,5-trione",ZZEOIZSXSUPCSV-UHFFFAOYSA-N,2%,Organic compounds,Organoheterocyclic compounds,Azolidines,Imidazolidines,Imidazolidinones,7.493440058,Control
"2,6-dihydroxyacetophenone, 2TMS derivative","1-(2,6-dihydroxyphenyl)ethanone",YPTJKHVBDCRKNF-UHFFFAOYSA-N,2%,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Ketones,22.74826002,Tannic acid
"Octadecanedioc acid, 2TMS derivate",octadecanedioic acid,BNJOQKFENDDGSC-UHFFFAOYSA-N,2%,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,10.57195852,Tannic acid
Phytol,"(E,7R,11R)-3,7,11,15-tetramethylhexadec-2-en-1-ol",BOTWFXYSPFMFNR-PYDDKJGSSA-N,2%,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Diterpenoids,Acyclic diterpenoids,21.52490562,Phytol
