"","Unknown.305","Unknown.356","Unknown.220","Unknown.290","Unknown.193","Unknown.369","Unknown.258","Unknown.138","Unknown.299","Unknown.55","Unknown.198","Unknown.353","Unknown.337","Unknown.116","Unknown.298","Unknown.185","Unknown.234","Unknown.221","Unknown.201","Unknown.359","Unknown.190","Unknown.296","Unknown.254","Unknown.194","Unknown.70","Unknown.303","Unknown.232","Unknown.89","Unknown.145","Unknown.178","Unknown.375","Unknown.144","Unknown.109","Unknown.239","Unknown.226","Unknown.118","Unknown.360","Unknown.180","Unknown.274","Unknown.338","Unknown.80","Unknown.174","Unknown.247","Unknown.197","Unknown.186","Unknown.184","Unknown.204","Unknown.210","Unknown.42","Unknown.383","Unknown.286","Unknown.153","Unknown.294","Unknown.192","Unknown.363","Unknown.151","Unknown.332","Unknown.354","Unknown.315","Unknown.214","Unknown.241","Unknown.41","Unknown.352","Unknown.38","Unknown.208","Unknown.328","Unknown.317","Unknown.43","Unknown.81","Unknown.77","Unknown.122","Unknown.215","Unknown.135","Unknown.22","Unknown.275","Unknown.243","Unknown.50","Unknown.236","Unknown.364","Unknown.170","Unknown.230","Unknown.34","Unknown.106","Unknown.387","Unknown.265","Unknown.283","Unknown.207","Unknown.293","Unknown.200","Unknown.137","Ribitol","Unknown.393","Unknown.367","Unknown.150","Unknown.74","Unknown.394","Unknown.103","Unknown.54","Unknown.266","Unknown.37","Unknown.271","Unknown.129","Unknown.59","Unknown.313","Unknown.390","Unknown.39","Unknown.187","Unknown.121","Unknown.323","Unknown.368","Unknown.228","Unknown.44","Unknown.278","Unknown.288","Unknown.85","Unknown.62","Unknown.58","Unknown.128","Unknown.277","Unknown.350","Unknown.365","Unknown.371","Unknown.132","Unknown.355","Unknown.6","Unknown.14","Unknown.149","Unknown.246","Unknown.78","Unknown.378","Unknown.84","Unknown.75","Unknown.212","Unknown.250","Unknown.314","Unknown.209","Unknown.351","Unknown.195","Unknown.329","Unknown.374","Unknown.219","Unknown.73","Unknown.330","Unknown.181","Unknown.115","Unknown.76","Unknown.141","Unknown.10","Unknown.242","Unknown.127","Unknown.345","Unknown.51","Unknown.142","Unknown.372","Unknown.255","Unknown.334","Unknown.325","Unknown.259","Unknown.301","Unknown.273","Unknown.15","Unknown.61","Unknown.168","Unknown.120","Unknown.335","Unknown.86","Unknown.134","Unknown.114","Unknown.284","Unknown.362","Unknown.69","Unknown.90","Unknown.87","Unknown.2","Unknown.112","Unknown.340","Unknown.57","Unknown.196","Unknown.320","Unknown.269","Unknown.88","Unknown.24","Unknown.64","Unknown.124","Unknown.218","Unknown.327","Unknown.311","Unknown.336","Unknown.35","Unknown.245","Unknown.56","Unknown.159","Unknown.217","Unknown.11","Unknown.249","Unknown.267","Unknown.268","Unknown.333","Unknown.111","Unknown.240","Unknown.16","Unknown.379","Unknown.302","Unknown.49","Unknown.72","Unknown.211","Unknown.131","Unknown.282","Unknown.324","Unknown.4","Unknown.140","Unknown.224","Unknown.312","Unknown.300","Unknown.231","Unknown.91","Unknown.82","Unknown.162","Unknown.19","Unknown.158","Unknown.125","Unknown.291","Unknown.97","Unknown.1","Unknown.316","Unknown.133","Unknown.225","Unknown.83","Unknown.319","Unknown.63","Unknown.36","Unknown.205","Unknown.272","Unknown.347","Unknown.297","Unknown.318","Unknown.17","Unknown.342","Unknown.348","Unknown.126","Unknown.13","Unknown.113","Unknown.199","Unknown.40","Unknown.264","Unknown.18","Unknown.344","Unknown.93","Unknown.148","Unknown.155","Unknown.341","Unknown.260","Unknown.119","Unknown.9","Unknown.176","Unknown.102","Unknown.167","Unknown.7","Unknown.281","Unknown.29","Unknown.253","Unknown.33","Unknown.386","Unknown.343","Unknown.139","Unknown.31","Unknown.373","Unknown.8","Unknown.67","Unknown.108","Unknown.358","Unknown.252","Unknown.100","Unknown.94","Unknown.304","Unknown.370","Unknown.117","Unknown.65","Unknown.130","Unknown.223","Unknown.143","Unknown.229","Unknown.381","Unknown.235","Unknown.326","Unknown.71","Unknown.60","Unknown.46","Unknown.123","Unknown.136","Unknown.101","Unknown.66","Unknown.213","Unknown.349","Unknown.262","Unknown.389","treatment","batID","concentration","data"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101165196147024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0535045478865704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142800354679985,0.0355016151914257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0164916828431931,0,0,0,0,0,0,0,0,0,0,0,0,0.0251899987735915,0,0,0,0,0,0,0,0,0,0,0,0,0.0724589526831423,0,0,0,0,0,0,0,0.0108458815094874,0,0,0,0,0,0,0,0,0,0,0,0.0486796538706575,0,0,0,0,0,0,0.0216182265316405,0,0,0,0,0,0,0,0,0.151791315815081,0,0,0,0,0,0,0,0,0.0122790926401862,0,0,0,0,0.326204856325612,0,0,0,0,0,0,0,0,0,0,0,0,0.0143246075837909,0,0,0,0.0356201740179442,0,0,0,0,0.0125912475251971,0,0,0,0,0,0,0,0.11776493260426,0,0,0,0.14144218078126,0,0.00415406116206739,0,0.00222410355570227,0,0,0,0.0026037919494895,0,0.131240118722108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"C",1,"0","18.02.21"
"2",0,0,0,0,0,0,0,0,0,0.00668954789359516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04619610645377,0,0,0,0,0,0,0,0,0,0,0,0,0.0501588672059759,0,0.0637864319149283,0,0,0,0.0426028635852103,0,0,0,0,0,0.0650733735096962,0,0,0.0404813212532416,0,0,0,0,0.0460750574918859,0,0,0,0,0,0,0,0,0.111607142857143,0,0,0,0,0,0,0.00774076256258868,0,0.0627479592419226,0,0,0,0,0,0.0425200406112896,0,0,0,0,0,0.03521887691028,0,0,0,0,0,0,0,0,0,0,0,0,0.145042140329131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211548988387455,0,0,0,0.0113913444130935,0,0,0,0,0,0,0,0,0.0703039628626882,0,0,0,0,0,0,0,0,0,0,0,0,0.0663857990964396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125024464632297,0,0,0,0,0.131796835499812,0,0,0,0,0,0,0.301475625071355,0,0,0.0163607228483356,0,0,0,0,0,0.0890346969647546,0,0,0,0,0,0,0,0,0.0416854398740887,0,0,0,0,0.775586182783423,0,0,0,0,0,0,0.0883402581834195,0,0,0,0,0,0,0,0,0,0.0833199117642262,0,0,0.0780510964232708,0,0.0875183994422064,0,0,0,0,0,0,0,0.155133801151469,0,0,0,0.195653348392674,0,0,0,0.0312051481741229,0,0,0,0.0302622404710257,0,0.160956893317893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0234261596235709,0,0,0,0,0,0,0,0,"C",1,"0","19.02.21"
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0205299015746391,0,0,0,0,0,0,0,0.029823087102632,0,0,0,0,0,0,0,0,0.112233445566779,0,0,0,0,0,0,0,0,0.0130574154365207,0,0,0.0182412000358729,0,0,0,0,0,0,0,0,0.017314524684579,0,0,0,0,0.0247932301203571,0,0,0,0,0,0,0,0.147363148397542,0.0273338132143408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0357734001385411,0,0,0,0,0,0,0,0,0,0,0,0,0.0706729889558956,0,0,0,0,0,0,0,0,0,0,0,0,0.350713969152035,0,0,0.0293815169687939,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0615430599914696,0,0,0,0,0,0,0,0,0,0.0344035998289942,0,0,0,0,0,0,0,0,0.264673095679043,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21131083763615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0290814358567139,0,0,0.0252596774448339,0,0.0315442777299514,0,0,0,0,0,0,0,0.308522253828693,0,0,0,0.224689231024892,0,0,0,0.00198240112902642,0,0,0,0,0,0.0694804386296499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0170439852363824,0.0513060960436187,0,0,0,0,0,0,0,0,"C",10,"0","16.02.21"
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0179559925322637,0,0,0,0,0,0,0,0,0.0807102502017756,0,0,0,0,0,0,0,0,0,0,0,0.0168924552591733,0,0,0,0,0,0,0,0,0,0,0,0,0.00205110759810298,0,0,0,0,0,0,0,0,0.0473848470766807,0.0134813540052369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0535029656755389,0,0,0,0,0,0,0,0,0,0,0,0,0.0711977060205103,0.0212596283474558,0,0,0,0,0,0,0,0,0,0,0,0.142265712373571,0,0,0.0334736313164664,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0824834299410571,0,0,0,0,0,0,0,0,0,0.0648053652676149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16992249889014,0,0,0,0,0,0,0,0,0,0,0,0,0.00757631343147522,0,0,0,0.0584278473338566,0,0,0,0,0.0250357415226444,0,0,0,0,0,0,0,0.0248893661836651,0,0,0,0.117945171874294,0,0,0,0.00208445894116156,0,0,0,0.0022771555899445,0,0.081412481258398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0241945465366112,0,0,0,0,0,0,0,0,"C",11,"0","23.02.21"
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0229817546615996,0,0,0,0,0,0,0,0,0.0594883997620464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0164221550116944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02262422776738,0,0,0,0,0,0,0,0,0,0,0,0,0.0352932766252455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100107530381496,0,0,0,0,0,0,0,0,0,0,0.0492164483193115,0,0,0,0,0,0,0.0263643666245273,0,0,0.00881035185962983,0,0,0,0,0,0.120062347503433,0,0,0,0,0,0,0,0,0,0,0,0,0,0.456973092470367,0,0,0,0,0,0.138555565042265,0,0,0,0,0,0,0,0,0,0,0.0221537001449355,0,0,0,0,0.018215346895656,0,0,0,0,0,0,0,0.0196584217692161,0,0,0,0.502986618509338,0,0,0,0.025176932742689,0,0,0,0.0185284144869675,0,0.0220573716553012,0.00282872314753043,0,0,0,0,0,0,0,0,0.0088344339820384,0,0,0,0,0,0,0,0,0,0.12406553723612,0,0,0,0.00868994124758695,0,0,0,0,"C",11,"0","28.02.21"
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00292865300699687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0250287634193249,0,0,0,0,0,0,0,0.0305370092844821,0,0,0,0,0,0,0,0,0.0736919675755343,0,0,0,0,0,0,0,0,0,0,0,0.0270195570154368,0,0,0,0,0,0,0,0,0.0128174119487623,0,0,0,0,0.0295895603090686,0,0,0,0,0,0,0,0.08660143934377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0659129128300337,0,0,0,0,0,0,0,0,0,0,0,0,0.0743632370925277,0.0141906375892402,0,0,0,0,0,0,0,0,0.00440928177019372,0,0,0.0300230086257558,0,0,0.0264959667921819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086135386507686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.655931967486543,0,0,0,0,0,0.203525081726584,0,0,0,0,0,0,0.0284714170850482,0,0,0,0.0905235712359171,0,0,0,0,0.0237073214273008,0,0,0,0,0,0,0,0.0922918869349682,0,0,0,0.234472524372885,0,0,0,0.00273877962933303,0,0,0,0.00327004150421065,0,0.115287662674256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0801054683321797,0,0,0,0.00302263073937595,0,0,0,0,"C",12,"0","23.02.21"
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110132158590308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0243092499954581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0423832069884256,0,0,0,0,0,0,0,0,0,0,0,0,0.0394901890157736,0,0,0,0,0,0,0,0,0,0,0,0,0.30054309747634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0837889096106649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167010076786424,0,0,0,0,0,0,0,0,0,0,0,0,0,0.493116394505754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0904537121073888,0,0,0,0.0062501036747055,0,0,0,0,0,0.0454885112628251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0197228784995644,0,0,0,0,0,0,0,0,0,0,"C",12,"0","28.02.21"
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00088948187680676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0257188033274485,0,0,0,0.0400131702288942,0,0.0137034265937881,0,0,0,0.0265972281091016,0,0,0,0,0,0,0,0.0534856263905833,0,0,0,0,0,0,0,0,0.066711140760507,0,0,0,0.0361886438718507,0,0,0,0,0.0442087235566498,0,0,0.0200145707942803,0,0,0.0382256065123833,0,0,0,0,0,0.0307669815481653,0,0,0,0,0.0300765273841247,0,0,0,0,0,0,0,0.130807892800234,0.0699103269583037,0,0,0.00661705716641051,0,0,0.0230442148663873,0,0,0,0,0,0,0,0,0,0.0431521566864097,0,0,0,0.0213868791594642,0,0.207501133352253,0,0,0,0.00993664284476944,0,0,0,0,0,0,0,0,0.189631639017786,0,0,0,0,0,0,0,0,0,0,0,0,0.098248433271045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.690234250703661,0,0,0,0.161109247785817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.31087023024558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153288195813784,0,0,0.0385634621976345,0,0.0366739274924842,0,0,0,0,0,0,0,0.140068824274501,0,0,0,0.334657727619518,0,0,0,0,0,0,0,0,0,0.160894248713384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0794440001130281,0,0,0,0,0,0,0,0,"C",13,"0","24.02.21"
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0210040868016001,0,0,0,0,0,0,0,0.0857104669841167,0,0,0,0,0.0294746856901825,0,0,0,0,0,0,0,0,0.111234705228031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0498940762853141,0,0,0,0,0,0,0,0,0,0,0,0,0.0611907068384944,0,0,0,0,0,0,0,0,0,0,0,0,0.605377960746045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0988961160505031,0,0,0,0,0,0,0.100830111194976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.403200507096525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0419182203406665,0,0,0,0,0.0564981449763239,0,0,0,0,0,0,0,0,0,0,0,0.704453983321616,0,0,0,0.0113191188688137,0,0,0,0.0123835658087949,0,0.0527201079499119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104458226117165,0,0,0,0,0,0,0,0,"C",13,"0","28.02.21"
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0334416340211946,0,0,0,0,0,0.0218590363868098,0,0,0,0,0,0,0,0.0505038656636273,0,0,0,0,0,0,0,0,0.120772946859903,0,0,0,0,0,0,0,0,0,0,0,0.0118687625955083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0365894485935531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0391620999272178,0,0,0,0,0,0,0,0,0,0,0,0,0.0653816103256025,0,0,0,0,0,0,0,0,0,0,0,0,2.23243519468624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0703540806896791,0,0,0,0,0,0,0.0741393914625602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5289822205993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0649056131625456,0,0,0,0,0.0272933373317095,0,0,0,0,0,0,0,0.0561251654940137,0,0,0,0.215167717600403,0,0,0,0,0,0,0,0,0,0.0620241303361832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0280923325696979,0,0,0,0,0,0,0,0,"C",14,"0","27.02.21"
