sampleID,treatment,batID,concentration,date,weight
C_B5_01_140221,C,5,0,14.02.21,7.97
C_B4_01_160221,C,4,0,16.02.21,8.59
C_B10_01_160221,C,10,0,16.02.21,8.91
C_B4_01_190221,C,4,0,19.02.21,8.91
C_B1_01_190221,C,1,0,19.02.21,8.96
C_B2_01_150221,C,2,0,15.02.21,9.12
C_B9_01_160221,C,9,0,16.02.21,9.98
C_B2_01_190221,C,2,0,19.02.21,10.74
C_B5_01_190221,C,5,0,19.02.21,10.95
C_B9_01_190221,C,9,0,19.02.21,11.83
C_B6_01_190221,C,6,0,19.02.21,13.63
C_B8_01_190221,C,8,0,19.02.21,13.67
C_B7_01_190221,C,7,0,19.02.21,14.24
C_B8_01_170221,C,8,0,17.02.21,15.96
C_B6_01_180221,C,6,0,18.02.21,16.83
C_B3_01_190221,C,3,0,19.02.21,17.98
C_B1_01_180221,C,1,0,18.02.21,18.69
C1_B1_01_140221,C1,1,0.1,14.02.21,4.49
C1_B6_01_140221,C1,6,0.1,14.02.21,4.54
C1_B4_01_170221,C1,4,0.1,17.02.21,7.83
C1_B2_01_160221,C1,2,0.1,16.02.21,9.64
C1_B7_01_160221,C1,7,0.1,16.02.21,10.07
C1_B3_01_150221,C1,3,0.1,15.02.21,11.7
C1_B5_01_150221,C1,5,0.1,15.02.21,13.43
C1_B10_01_170221,C1,10,0.1,17.02.21,15.52
C1_B8_01_150221,C1,8,0.1,15.02.21,15.63
C1_B9_01_170221,C1,9,0.1,17.02.21,16.26
C2_B2_01_180221,C2,2,0.1,18.02.21,10
C2_B7_01_140221,C2,7,0.1,14.02.21,5.47
C2_B2_01_140221,C2,2,0.1,14.02.21,5.6
C2_B6_01_150221,C2,6,0.1,15.02.21,9.62
C2_B1_01_150221,C2,1,0.1,15.02.21,10.69
C2_B10_01_180221,C2,10,0.1,18.02.21,10.8
C2_B8_01_180221,C2,8,0.1,18.02.21,12.81
C2_B5_01_180221,C2,5,0.1,18.02.21,13.14
C2_B4_01_180221,C2,4,0.1,18.02.21,13.97
C2_B3_01_180221,C2,3,0.1,18.02.21,14.78
C3_B3_01_140221,C3,3,0.1,14.02.21,4.83
C3_B6_01_160221,C3,6,0.1,16.02.21,8.56
C3_B1_01_160221,C3,1,0.1,16.02.21,9.47
C3_B4_01_150221,C3,4,0.1,15.02.21,9.81
C3_B2_01_170221,C3,2,0.1,17.02.21,10.68
C3_B5_01_160221,C3,5,0.1,16.02.21,11.2
C3_B8_01_140221,C3,8,0.1,14.02.21,11.74
C3_B9_01_150221,C3,9,0.1,15.02.21,12.02
C3_B10_01_190221,C3,10,0.1,19.02.21,14.02
C3_B7_01_170221,C3,7,0.1,17.02.21,14.29
C4_3_01_160221,C4,3,0.1,16.02.21,8.72
C4_B1_01_170221,C4,1,0.1,17.02.21,9.17
C4_B7_01_180221,C4,7,0.1,18.02.21,9.57
C4_B8_01_160221,C4,8,0.1,16.02.21,10.25
C4_B6_01_170221,C4,6,0.1,17.02.21,10.54
C4_B4_01_140221,C4,4,0.1,14.02.21,11.65
C4_B2_01_180221,C4,2,0.1,18.02.21,12.04
C4_B9_01_140221,C4,9,0.1,14.02.21,18.87
C4_B5_01_170221,C4,5,0.1,17.02.21,21.76
C_B15_2_260221,C,15,0,26.02.21,7.72
C_B14_2_270221,C,14,0,27.02.21,8.28
C_B14_2_230221,C,14,0,23.02.21,8.73
C_B13_2_280221,C,13,0,28.02.21,8.99
C_B12_2_280221,C,12,0,28.02.21,9.08
C_B2_2_240221,C,20,0,24.02.21,11.02
C_B19_2_230221,C,19,0,23.02.21,11.11
C_B11_2_230221,C,11,0,23.02.21,12.39
C_B17_2_250221,C,17,0,25.02.21,12.79
C_B16_2_260221,C,16,0,26.02.21,12.98
C_B17_2_230221,C,17,0,23.02.21,13.25
C_B16_2_230221,C,16,0,23.02.21,13.38
C_B12_2_230221,C,12,0,23.02.21,13.57
C_B18_2_230221,C,18,0,23.02.21,13.6
C_B20_2_250221,C,20,0,25.02.21,14.32
C_B13_2_240221,C,13,0,24.02.21,14.99
C_B19_2_240221,C,19,0,24.02.21,16.03
C_B11_2_280221,C,11,0,28.02.21,16.81
C1_B15_2_270221,C1,15,2,27.02.21,7.1
C1_B13_2_010321,C1,13,2,01.03.21,7.21
C1_B17_2_260221,C1,17,2,26.02.21,10.17
C1_B14_2_280221,C1,14,2,28.02.21,10.63
C1_B11_2_240221,C1,11,2,24.02.21,14.33
C1_B18_2_260221,C1,18,2,26.02.21,14.44
C1_B12_2_240221,C1,12,2,24.02.21,16.21
C1_B20_2_260221,C1,20,2,26.02.21,17.34
C1_B19_2_250221,C1,19,2,25.02.21,19.54
C2_B15_2_230221,C2,15,2,23.02.21,10
C2_B14_2_240221,C2,14,2,24.02.21,7.46
C2_B20_2_270221,C2,20,2,27.02.21,9.34
C2_B11_2_260221,C2,11,2,26.02.21,10.04
C2_B18_2_270221,C2,18,2,27.02.21,10.72
C2_B12_2_260221,C2,12,2,26.02.21,10.92
C2_B19_2_260221,C2,19,2,26.02.21,11.77
C2_B15_2_280221,C2,15,2,28.02.21,12.6
C2_B17_2_270221,C2,17,2,27.02.21,14.26
C2_B13_2_260221,C2,13,2,26.02.21,14.32
C3_B20_2_280221,C3,20,2,28.02.21,10
C3_B16_2_240221,C3,16,2,24.02.21,6.04
C3_B12_2_250221,C3,12,2,25.02.21,10.3
C3_B11_2_250221,C3,11,2,25.02.21,11.26
C3_B19_2_270221,C3,19,2,27.02.21,11.38
C3_B14_2_250221,C3,14,2,25.02.21,13.99
C3_B17_2_280221,C3,17,2,28.02.21,14.58
C3_B13_2_250221,C3,13,2,25.02.21,15.86
C3_B15_2_240221,C3,15,2,24.02.21,16.73
C4_B20_2_010321,C4,20,2,01.03.21,8.67
C4_B15_2_250221,C4,15,2,25.02.21,9.27
C4_B11_2_270221,C4,11,2,27.02.21,10.74
C4_B18_2_240221,C4,18,2,24.02.21,11.92
C4_B19_2_280221,C4,19,2,28.02.21,12.99
C4_B17_2_240221,C4,17,2,24.02.21,13.24
C4_B13_2_270221,C4,13,2,27.02.21,14.34
C4_B16_2_250221,C4,16,2,25.02.21,15.84
C4_B14_2_260221,C4,14,2,26.02.21,17.47
C_B25_3_100321,C,25,0,10.03.21,6.58
C_B23_3_100321,C,23,0,10.03.21,7.14
C_B27_01_150221,C,27,0,15.02.21,7.17
C_B26_3_110321,C,26,0,11.03.21,8.48
C_B28_3_130321,C,28,0,13.03.21,9.29
C_B22_3_110321,C,22,0,11.03.21,10.07
C_B21_3_110321,C,21,0,11.03.21,10.25
C_B24_3_100321,C,24,0,10.03.21,10.54
C_B27_3_110321,C,27,0,11.03.21,10.58
C_B26_3_080321,C,26,0,08.03.21,11.42
C_B27_3_170321,C,27,0,17.03.21,11.67
C_B22_3_060321,C,22,0,06.03.21,11.88
C_B29_3_130221,C,29,0,13.02.21,12.26
C_B3_3_130321,C,30,0,13.03.21,12.29
C_B21_3_060321,C,21,0,06.03.21,12.53
C_B23_3_060321,C,23,0,06.03.21,12.61
C_B29_3_150321,C,29,0,15.03.21,12.74
C_B24_3_060321,C,24,0,06.03.21,13.32
C1_B23_3_110321,C1,23,3,11.03.21,9.54
C1_B27_3_130321,C1,27,3,13.03.21,10.23
C1_B28_3_150321,C1,28,3,15.03.21,11.59
C1_B29_3_140321,C1,29,3,14.03.21,12.11
C1_B22_3_070321,C1,22,3,07.03.21,12.61
C1_B26_3_120321,C1,26,3,12.03.21,14.46
C1_B21_3_070321,C1,21,3,07.03.21,15.09
C1_B24_3_110321,C1,24,3,11.03.21,15.96
C1_B25_3_110321,C1,25,3,11.03.21,16.24
C2_B23_3_070321,C2,23,3,07.03.21,8.6
C2_B30_3_140321,C2,30,3,14.03.21,10.47
C2_B25_3_120321,C2,25,3,12.03.21,10.61
C2_B27_3_140321,C2,27,3,14.03.21,11.09
C2_B26_3_130321,C2,26,3,13.03.21,12.02
C2_B29_3_180321,C2,29,3,18.03.21,12.49
C2_B21_3_080321,C2,21,3,08.03.21,13.74
C2_B24_3_070321,C2,24,3,07.03.21,13.85
C2_B22_3_080321,C2,22,3,08.03.21,17.78
C3_B22_3_090321,C3,22,3,09.03.21,9.54
C3_B27_3_150321,C3,27,3,15.03.21,9.82
C3_B23_3_080321,C3,23,3,08.03.21,13.43
C4_B30_3_150321,C4,30,3,15.03.21,8.61
C4_B22_3_100321,C4,22,3,10.03.21,10.16
C4_B24_3_090321,C4,24,3,09.03.21,10.29
C4_B28_3_140321,C4,28,3,14.03.21,12.97
C4_B23_3_090321,C4,23,3,09.03.21,15.96
C4_B27_3_160321,C4,27,3,16.03.21,24.21
