sampleID,Unknown 305,Unknown 356,Unknown 220,Unknown 290,Unknown 193,Unknown 369,Unknown 258,Unknown 138,Unknown 299,Unknown 55,Unknown 198,Unknown 353,Unknown 337,Unknown 116,Unknown 298,Unknown 185,Unknown 234,Unknown 221,Unknown 201,Unknown 359,Unknown 190,Unknown 296,Unknown 254,Unknown 194,Unknown 70,Unknown 303,Unknown 232,Unknown 89,Unknown 145,Unknown 178,Unknown 375,Unknown 144,Unknown 109,Unknown 239,Unknown 226,Unknown 118,Unknown 360,Unknown 180,Unknown 274,Unknown 338,Unknown 80,Unknown 174,Unknown 247,Unknown 197,Unknown 186,Unknown 184,Unknown 204,Unknown 210,Unknown 42,Unknown 383,Unknown 286,Unknown 153,Unknown 294,Unknown 192,Unknown 363,Unknown 151,Unknown 332,Unknown 354,Unknown 315,Unknown 214,Unknown 241,Unknown 41,Unknown 352,Unknown 38,Unknown 208,Unknown 328,Unknown 317,Unknown 43,Unknown 81,Unknown 77,Unknown 122,Unknown 215,Unknown 135,Unknown 22,Unknown 275,Unknown 243,Unknown 50,Unknown 236,Unknown 364,Unknown 170,Unknown 230,Unknown 34,Unknown 106,Unknown 387,Unknown 265,Unknown 283,Unknown 207,Unknown 293,Unknown 200,Unknown 137,Ribitol,Unknown 393,Unknown 367,Unknown 150,Unknown 74,Unknown 394,Unknown 103,Unknown 54,Unknown 266,Unknown 37,Unknown 271,Unknown 129,Unknown 59,Unknown 313,Unknown 390,Unknown 39,Unknown 187,Unknown 121,Unknown 323,Unknown 368,Unknown 228,Unknown 44,Unknown 278,Unknown 288,Unknown 85,Unknown 62,Unknown 58,Unknown 128,Unknown 277,Unknown 350,Unknown 365,Unknown 371,Unknown 132,Unknown 355,Unknown 6,Unknown 14,Unknown 149,Unknown 246,Unknown 78,Unknown 378,Unknown 84,Unknown 75,Unknown 212,Unknown 250,Unknown 314,Unknown 209,Unknown 351,Unknown 195,Unknown 329,Unknown 374,Unknown 219,Unknown 73,Unknown 330,Unknown 181,Unknown 115,Unknown 76,Unknown 141,Unknown 10,Unknown 242,Unknown 127,Unknown 345,Unknown 51,Unknown 142,Unknown 372,Unknown 255,Unknown 334,Unknown 325,Unknown 259,Unknown 301,Unknown 273,Unknown 15,Unknown 61,Unknown 168,Unknown 120,Unknown 335,Unknown 86,Unknown 134,Unknown 114,Unknown 284,Unknown 362,Unknown 69,Unknown 90,Unknown 87,Unknown 2,Unknown 112,Unknown 340,Unknown 57,Unknown 196,Unknown 320,Unknown 269,Unknown 88,Unknown 24,Unknown 64,Unknown 124,Unknown 218,Unknown 327,Unknown 311,Unknown 336,Unknown 35,Unknown 245,Unknown 56,Unknown 159,Unknown 217,Unknown 11,Unknown 249,Unknown 267,Unknown 268,Unknown 333,Unknown 111,Unknown 240,Unknown 16,Unknown 379,Unknown 302,Unknown 49,Unknown 72,Unknown 211,Unknown 131,Unknown 282,Unknown 324,Unknown 4,Unknown 140,Unknown 224,Unknown 312,Unknown 300,Unknown 231,Unknown 91,Unknown 82,Unknown 162,Unknown 19,Unknown 158,Unknown 125,Unknown 291,Unknown 97,Unknown 1,Unknown 316,Unknown 133,Unknown 225,Unknown 83,Unknown 319,Unknown 63,Unknown 36,Unknown 205,Unknown 272,Unknown 347,Unknown 297,Unknown 318,Unknown 17,Unknown 342,Unknown 348,Unknown 126,Unknown 13,Unknown 113,Unknown 199,Unknown 40,Unknown 264,Unknown 18,Unknown 344,Unknown 93,Unknown 148,Unknown 155,Unknown 341,Unknown 260,Unknown 119,Unknown 9,Unknown 176,Unknown 102,Unknown 167,Unknown 7,Unknown 281,Unknown 29,Unknown 253,Unknown 33,Unknown 386,Unknown 343,Unknown 139,Unknown 31,Unknown 373,Unknown 8,Unknown 67,Unknown 108,Unknown 358,Unknown 252,Unknown 100,Unknown 94,Unknown 304,Unknown 370,Unknown 117,Unknown 65,Unknown 130,Unknown 223,Unknown 143,Unknown 229,Unknown 381,Unknown 235,Unknown 326,Unknown 71,Unknown 60,Unknown 46,Unknown 123,Unknown 136,Unknown 101,Unknown 66,Unknown 213,Unknown 349,Unknown 262,Unknown 389
C_B1_01_180221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95153,23656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10989,0,0,0,0,0,0,0,0,0,0,0,0,16785,0,0,0,0,0,0,0,0,0,0,0,0,48282,0,0,0,0,0,0,0,7227,0,0,0,0,0,0,0,0,0,0,0,32437,0,0,0,0,0,0,14405,0,0,0,0,0,0,0,0,101144,0,0,0,0,0,0,0,0,8182,0,0,0,0,217362,0,0,0,0,0,0,0,0,0,0,0,0,9545,0,0,0,23735,0,0,0,0,8390,0,0,0,0,0,0,0,78471,0,0,0,94248,0,2768,0,1482,0,0,0,1735,0,87450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C_B1_01_190221,0,0,0,0,0,0,0,0,0,1050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7251,0,0,0,0,0,0,0,0,0,0,0,0,7873,0,10012,0,0,0,6687,0,0,0,0,0,10214,0,0,6354,0,0,0,0,7232,0,0,0,0,0,0,0,0,17518,0,0,0,0,0,0,1215,0,9849,0,0,0,0,0,6674,0,0,0,0,0,5528,0,0,0,0,0,0,0,0,0,0,0,0,22766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33205,0,0,0,1788,0,0,0,0,0,0,0,0,11035,0,0,0,0,0,0,0,0,0,0,0,0,10420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19624,0,0,0,0,20687,0,0,0,0,0,0,47320,0,0,2568,0,0,0,0,0,13975,0,0,0,0,0,0,0,0,6543,0,0,0,0,121737,0,0,0,0,0,0,13866,0,0,0,0,0,0,0,0,0,13078,0,0,12251,0,13737,0,0,0,0,0,0,0,24350,0,0,0,30710,0,0,0,4898,0,0,0,4750,0,25264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3677,0,0,0,0,0,0,0,0
C_B10_01_160221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13204,0,0,0,0,0,0,0,19181,0,0,0,0,0,0,0,0,72184,0,0,0,0,0,0,0,0,8398,0,0,11732,0,0,0,0,0,0,0,0,11136,0,0,0,0,15946,0,0,0,0,0,0,0,94778,17580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23008,0,0,0,0,0,0,0,0,0,0,0,0,45454,0,0,0,0,0,0,0,0,0,0,0,0,225565,0,0,18897,0,0,0,0,0,0,0,0,0,0,0,0,0,39582,0,0,0,0,0,0,0,0,0,22127,0,0,0,0,0,0,0,0,170227,0,0,0,0,0,0,0,0,0,0,0,0,0,779066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18704,0,0,16246,0,20288,0,0,0,0,0,0,0,198429,0,0,0,144511,0,0,0,1275,0,0,0,0,0,44687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10962,32998,0,0,0,0,0,0,0,0
C_B11_2_230221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9691,0,0,0,0,0,0,0,0,43560,0,0,0,0,0,0,0,0,0,0,0,9117,0,0,0,0,0,0,0,0,0,0,0,0,1107,0,0,0,0,0,0,0,0,25574,7276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28876,0,0,0,0,0,0,0,0,0,0,0,0,38426,11474,0,0,0,0,0,0,0,0,0,0,0,76782,0,0,18066,0,0,0,0,0,0,0,0,0,0,0,0,0,44517,0,0,0,0,0,0,0,0,0,34976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,631417,0,0,0,0,0,0,0,0,0,0,0,0,4089,0,0,0,31534,0,0,0,0,13512,0,0,0,0,0,0,0,13433,0,0,0,63656,0,0,0,1125,0,0,0,1229,0,43939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13058,0,0,0,0,0,0,0,0
C_B11_2_280221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12406,0,0,0,0,0,0,0,0,32113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12213,0,0,0,0,0,0,0,0,0,0,0,0,19052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54040,0,0,0,0,0,0,0,0,0,0,26568,0,0,0,0,0,0,14232,0,0,4756,0,0,0,0,0,64812,0,0,0,0,0,0,0,0,0,0,0,0,0,246683,0,0,0,0,0,74795,0,0,0,0,0,0,0,0,0,0,11959,0,0,0,0,9833,0,0,0,0,0,0,0,10612,0,0,0,271522,0,0,0,13591,0,0,0,10002,0,11907,1527,0,0,0,0,0,0,0,0,4769,0,0,0,0,0,0,0,0,0,66973,0,0,0,4691,0,0,0,0
C_B12_2_230221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13050,0,0,0,0,0,0,0,15922,0,0,0,0,0,0,0,0,38423,0,0,0,0,0,0,0,0,0,0,0,14088,0,0,0,0,0,0,0,0,6683,0,0,0,0,15428,0,0,0,0,0,0,0,45154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34367,0,0,0,0,0,0,0,0,0,0,0,0,38773,7399,0,0,0,0,0,0,0,0,2299,0,0,15654,0,0,13815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342003,0,0,0,0,0,106118,0,0,0,0,0,0,14845,0,0,0,47199,0,0,0,0,12361,0,0,0,0,0,0,0,48121,0,0,0,122254,0,0,0,1428,0,0,0,1705,0,60111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41767,0,0,0,1576,0,0,0,0
C_B12_2_280221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8585,0,0,0,0,0,0,0,0,0,0,0,0,7999,0,0,0,0,0,0,0,0,0,0,0,0,60877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33829,0,0,0,0,0,0,0,0,0,0,0,0,0,99884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18322,0,0,0,1266,0,0,0,0,0,9214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3995,0,0,0,0,0,0,0,0,0,0
C_B13_2_240221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20934,0,0,0,32569,0,11154,0,0,0,21649,0,0,0,0,0,0,0,43535,0,0,0,0,0,0,0,0,54300,0,0,0,29456,0,0,0,0,35984,0,0,16291,0,0,31114,0,0,0,0,0,25043,0,0,0,0,24481,0,0,0,0,0,0,0,106472,56904,0,0,5386,0,0,18757,0,0,0,0,0,0,0,0,0,35124,0,0,0,17408,0,168897,0,0,0,8088,0,0,0,0,0,0,0,0,154352,0,0,0,0,0,0,0,0,0,0,0,0,79970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561821,0,0,0,131136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1880949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124770,0,0,31389,0,29851,0,0,0,0,0,0,0,114010,0,0,0,272397,0,0,0,0,0,0,0,0,0,130961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64664,0,0,0,0,0,0,0,0
C_B13_2_280221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2802,0,0,0,0,0,0,0,11434,0,0,0,0,3932,0,0,0,0,0,0,0,0,14839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6656,0,0,0,0,0,0,0,0,0,0,0,0,8163,0,0,0,0,0,0,0,0,0,0,0,0,80759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13193,0,0,0,0,0,0,13451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5592,0,0,0,0,7537,0,0,0,0,0,0,0,0,0,0,0,93976,0,0,0,1510,0,0,0,1652,0,7033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13935,0,0,0,0,0,0,0,0
C_B14_2_230221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3483,0,0,0,0,4336,0,0,0,0,0,0,0,14725,0,0,0,0,16390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9437,0,0,0,0,0,0,0,0,0,8184,0,0,0,0,0,21086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30428,0,0,0,0,0,0,0,0,0,0,0,0,21877,0,0,0,0,5480,0,0,0,0,0,0,897,22409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51195,0,0,0,0,0,0,0,0,7845,0,0,0,0,0,0,78613,0,0,0,0,0,0,93010,0,0,0,27936,0,0,0,0,0,0,0,0,0,0,0,0,8494,0,0,24886,0,9533,0,0,0,0,0,0,0,10194,0,0,0,40974,0,0,0,0,0,0,0,0,0,26167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
